ORDERDATE,RETAILPRICE,USERR,id_order
2011-12-15,19.08,austro,1
2011-12-15,1.25,austro,2
2011-12-15,4.65,austro,3
2005-06-22,16.13,austro,4
2011-01-24,31.99,austro,5
2011-01-24,24.00,austro,6
2011-01-24,78.00,austro,7
2011-01-24,37.45,austro,8
2011-01-24,36.95,austro,9
2011-01-24,20.48,austro,10
2011-01-24,20.55,austro,11
2011-01-24,0.70,austro,12
2011-01-24,70.65,austro,13
2005-09-08,38.15,austro,14
2005-09-08,15.25,austro,15
2011-03-28,8.85,austro,16
2011-03-28,4.40,austro,17
2005-12-27,58.70,austro,18
2005-12-27,132.50,austro,19
2005-12-27,36.40,austro,20
2005-12-27,16.80,austro,21
2005-12-27,6.98,austro,22
2005-12-27,62.55,austro,23
2005-12-27,8.05,austro,24
2005-12-27,12.25,austro,25
2005-12-27,20.99,austro,26
2005-12-27,152.95,austro,27
2014-04-29,11.55,austro,28
2014-04-29,2.93,austro,29
2014-04-29,6.05,austro,30
2014-04-29,33.20,austro,31
2014-04-29,21.80,austro,32
2014-04-29,5.99,austro,33
2014-04-29,17.20,austro,34
2011-02-24,8.80,austro,35
2011-02-24,32.40,austro,36
2011-02-24,3.35,austro,37
2011-02-24,6.05,austro,38
2011-02-24,108.99,austro,39
2011-02-24,0.70,austro,40
2011-02-24,31.35,austro,41
2011-02-24,4.95,austro,42
2013-04-05,10.45,,43
2013-04-05,36.95,,44
2013-04-05,30.75,,45
2013-04-05,10.06,,46
2013-04-05,24.75,,47
2013-04-05,5.15,,48
2013-04-05,8.95,,49
2013-04-05,66.05,,50
2013-04-05,1.15,,51
2013-04-05,130.60,,52
2013-04-05,96.50,,53
2013-04-05,4.65,,54
2013-04-05,32.80,,55
2013-04-05,34.31,,56
2013-04-05,17.50,,57
2013-04-05,69.64,,58
2006-01-26,44.98,,59
2014-10-11,13.25,,60
2014-10-11,39.50,,61
2014-06-11,1.99,,62
2007-05-06,18.15,,63
2007-05-06,32.00,,64
2007-05-06,66.22,,65
2007-05-06,4.40,,66
2007-05-06,18.55,,67
2007-05-06,14.85,,68
2007-05-06,6.20,,69
2007-05-06,1.15,,70
2007-05-06,4.99,,71
2009-07-06,56.62,,72
2009-07-06,16.95,,73
2009-07-06,16.80,,74
2009-07-06,6.50,,75
2011-01-30,20.99,austro,76
2011-01-30,6.25,austro,77
2010-02-16,16.20,austro,78
2010-02-16,6.40,austro,79
2010-02-16,1.57,austro,80
2010-02-16,60.05,austro,81
2006-07-23,1.15,austro,82
2007-09-29,16.65,austro,83
2007-09-29,12.65,austro,84
2007-09-29,3.30,austro,85
2007-09-29,27.22,austro,86
2007-09-29,1.50,austro,87
2007-09-29,1.15,austro,88
2007-09-29,25.07,austro,89
2007-09-29,24.20,austro,90
2007-09-29,3.13,austro,91
2007-09-29,4.06,austro,92
2007-09-29,80.85,austro,93
2011-12-15,3.35,austro,94
2013-06-30,14.50,,95
2013-06-30,14.50,,96
2013-06-30,28.45,,97
2013-06-30,3.20,,98
2013-06-30,93.55,,99
2013-06-30,10.85,,100
2013-06-30,7.60,,101
2013-06-30,3.67,,102
2007-06-07,26.20,,103
2007-06-07,26.20,,104
2007-06-07,8.95,,105
2007-06-07,12.40,,106
2007-06-07,37.75,,107
2007-06-07,8.95,,108
2007-06-07,3.00,,109
2007-06-07,2.45,,110
2007-06-07,24.79,,111
2009-11-24,0.50,,112
2011-11-29,132.55,,113
2011-11-29,25.35,,114
2011-11-29,28.05,,115
2007-01-04,37.40,lari,116
2007-01-04,44.95,lari,117
2008-04-11,11.10,lari,118
2008-04-11,4.99,lari,119
2008-04-11,36.45,lari,120
2008-04-11,2.35,lari,121
2008-04-11,22.65,lari,122
2007-07-06,12.99,lari,123
2007-07-06,8.88,lari,124
2012-04-30,6.93,lari,125
2012-04-30,7.89,lari,126
2012-04-30,2.25,lari,127
2012-04-30,22.45,lari,128
2012-04-30,9.10,lari,129
2012-04-30,28.45,lari,130
2012-04-30,10.70,lari,131
2012-04-30,6.60,lari,132
2008-05-08,22.65,lari,133
2008-05-08,30.10,lari,134
2008-05-08,22.99,lari,135
2008-05-08,13.50,lari,136
2013-11-22,102.60,lari,137
2014-04-02,34.25,lari,138
2010-04-10,42.35,lari,139
2010-04-10,4.06,lari,140
2010-04-10,6.59,lari,141
2010-04-10,35.94,lari,142
2010-04-10,30.50,lari,143
2010-04-10,34.78,lari,144
2010-04-10,972.99,lari,145
2010-04-10,12.45,lari,146
2010-04-10,36.15,lari,147
2010-04-10,111.65,lari,148
2010-04-10,76.09,lari,149
2010-04-10,2.70,lari,150
2010-04-10,31.00,lari,151
2009-05-16,4.56,lari,152
2009-09-05,20.99,dario,153
2009-09-05,4.40,dario,154
2013-09-01,8.75,dario,155
2013-09-01,21.45,dario,156
2013-09-01,54.88,dario,157
2013-09-01,28.65,dario,158
2011-11-29,18.80,,159
2011-11-29,22.20,,160
2013-02-04,28.95,,161
2013-02-04,66.40,,162
2013-02-04,15.25,,163
2013-02-04,66.40,,164
2005-05-08,33.80,,165
2005-05-08,66.35,,166
2010-12-27,6.30,,167
2010-12-27,6.30,,168
2010-12-27,90.33,,169
2010-12-27,31.00,,170
2010-12-27,1.60,,171
2010-12-27,18.15,,172
2010-12-27,108.70,,173
2010-12-27,30.75,,174
2010-12-27,1.57,,175
2010-12-27,27.10,,176
2010-12-27,6.85,,177
2010-12-27,36.75,,178
2007-06-06,28.00,,179
2007-06-06,4.56,,180
2007-06-06,1.45,,181
2007-06-06,6.93,,182
2007-06-06,16.77,,183
2007-06-06,6.00,,184
2006-02-17,28.85,herni,185
2006-02-17,4.50,herni,186
2006-02-17,8.80,herni,187
2006-02-17,48.36,herni,188
2010-10-13,22.50,herni,189
2010-10-13,3.40,herni,190
2010-10-13,16.13,herni,191
2010-10-13,78.65,herni,192
2010-10-13,24.00,herni,193
2010-10-13,72.90,herni,194
2010-10-13,4.85,herni,195
2010-10-13,37.40,herni,196
2008-09-27,8.95,herni,197
2008-09-27,0.30,herni,198
2007-01-06,38.10,herni,199
2013-04-11,2.70,herni,200
2013-04-11,56.62,herni,201
2013-06-24,5.15,herni,202
2013-06-24,13.30,herni,203
2014-05-19,37.40,herni,204
2014-05-19,72.60,herni,205
2014-05-19,8.45,herni,206
2014-05-19,44.95,herni,207
2014-05-19,11.15,herni,208
2012-09-11,1.95,herni,209
2012-09-11,16.58,herni,210
2012-09-11,26.15,herni,211
2012-09-11,16.90,herni,212
2012-09-11,27.40,herni,213
2012-09-11,34.09,herni,214
2012-09-11,12.15,herni,215
2012-09-11,8.75,herni,216
2012-09-11,4.81,herni,217
2012-09-11,17.99,herni,218
2012-09-11,11.10,herni,219
2012-09-11,35.99,herni,220
2012-09-11,13.32,herni,221
2012-09-11,30.50,herni,222
2010-08-16,90.75,herni,223
2010-08-16,78.65,herni,224
2010-08-16,16.75,herni,225
2010-08-16,23.25,herni,226
2009-04-14,18.55,lari,227
2009-04-14,15.99,lari,228
2009-04-14,35.42,lari,229
2009-04-14,3.50,lari,230
2009-04-14,14.40,lari,231
2009-04-14,2.60,lari,232
2009-04-14,36.25,lari,233
2009-04-14,2.60,lari,234
2013-03-10,4.60,lari,235
2007-01-04,3.13,lari,236
2007-01-04,16.39,lari,237
2007-01-04,2.60,lari,238
